,full_name,age,religion,workclass,demographic_characteristic,relationship,race,workclass,town,Cluster Id - KMeans
86,Miss Bernard Godfrey,30.0,Christianity,Private,117747.0,Wife,Asian-Pac-Islander,Private,Edinburgh,1
88,Arthur Jones,29.0,Christianity,Local-gov,115585.0,Not-in-family,White,Local-gov,Edinburgh,1
94,Graeme Ward,44.0,Christianity,Private,198282.0,Husband,White,Private,Swindon,1
96,Miss Reece Holly Pollard,20.0,Christianity,Private,188300.0,Own-child,White,Private,Edinburgh,1
97,Gregory Gordon Turner,29.0,Christianity,Private,103432.0,Not-in-family,White,Private,Edinburgh,1
98,Mr. Kenneth Kyle Thomas,33.0,Christianity,Self-emp-inc,317660.0,Husband,White,Self-emp-inc,Swindon,1
99,Phillip Harriet Hammond,17.0,Christianity,?,304873.0,Own-child,White,?,Edinburgh,1
100,Dr. Stewart Douglas,31.0,Christianity,Private,194901.0,Own-child,White,Private,Edinburgh,1
101,Mrs. Callum Davidson,32.0,Christianity,Local-gov,189265.0,Not-in-family,White,Local-gov,Edinburgh,1
103,Mr. Joe Craig Clarke,24.0,Not Stated,Private,432376.0,Other-relative,White,Private,Edinburgh,1
105,Ms. Peter Julie Singh,28.0,Islam,Private,377869.0,Wife,White,Private,Edinburgh,1
106,Ms. Karl Roberts,36.0,Christianity,Private,102864.0,Own-child,White,Private,Edinburgh,1
111,Max Wilson,22.0,Christianity,Private,102632.0,Not-in-family,White,Private,Edinburgh,1
112,John Morley,22.0,Christianity,Private,199915.0,Own-child,White,Private,Edinburgh,1
114,Cameron Matthew Clayton,30.0,Christianity,Private,77143.0,Own-child,Black,Private,Edinburgh,1
115,Colin Harrison,29.0,Other religions,State-gov,267989.0,Husband,White,State-gov,Swindon,1
116,Eric Reed,20.0,Christianity,Private,301606.0,Own-child,Black,Private,Edinburgh,1
117,Roy Osborne,21.0,Islam,Private,111697.0,Own-child,White,Private,Edinburgh,1
119,Dennis Coles,36.0,Christianity,?,129305.0,Husband,White,?,Leeds,1
120,Brandon Bennett,39.0,Christianity,Private,365739.0,Not-in-family,White,Private,Leeds,1
121,Mrs. Ryan Farmer,29.0,Christianity,Private,69621.0,Not-in-family,White,Private,Edinburgh,1
122,Mr. Peter Martin Matthews,38.0,Christianity,Self-emp-not-inc,120985.0,Husband,White,Self-emp-not-inc,Oxford,1
123,Mr. Terry Gough,37.0,Christianity,Private,254202.0,Husband,White,Private,Swindon,1
126,Ashley Sharon Howells,27.0,Christianity,Private,163127.0,Wife,White,Private,Oxford,1
127,Mr. Brian Evans,21.0,Christianity,Private,34310.0,Own-child,White,Private,Edinburgh,1
130,Ross Fiona Poole,28.0,Not Stated,Private,232782.0,Own-child,White,Private,Edinburgh,1
131,Liam Hill,20.0,Christianity,Private,316868.0,Own-child,White,Private,Edinburgh,1
134,Jason Rachael Owen,31.0,Christianity,Private,185814.0,Unmarried,Black,Private,Edinburgh,1
135,Mr. Terence Francis,23.0,Not Stated,Private,175374.0,Husband,White,Private,Edinburgh,1
140,Miss Max Hart,35.0,Christianity,Private,198183.0,Not-in-family,White,Private,Edinburgh,1
141,Miss Aaron Sandra Marshall,34.0,Christianity,Private,163003.0,Other-relative,Asian-Pac-Islander,Private,Edinburgh,1
144,Edward Houghton,23.0,Christianity,Private,214542.0,Not-in-family,White,Private,Edinburgh,1
146,Gordon Rice,30.0,Christianity,Private,191535.0,Not-in-family,White,Private,Bristol,1
147,Dr. Dennis Doherty,43.0,Christianity,Private,228456.0,Other-relative,Black,Private,Edinburgh,1
149,Mrs. Gary Sarah King,25.0,Buddhism,Private,252752.0,Unmarried,White,Private,Edinburgh,1
151,Bruce Bentley,29.0,Christianity,Private,88419.0,Not-in-family,Asian-Pac-Islander,Private,Edinburgh,1
156,Mohamed Frederick Robinson,18.0,Christianity,Private,25828.0,Own-child,White,Private,Edinburgh,1
158,Dr. Jake Geoffrey Franklin,26.0,Christianity,Private,124953.0,Not-in-family,White,Private,Edinburgh,1
159,Gordon Turnbull,29.0,Christianity,State-gov,175325.0,Husband,White,State-gov,North Lydialand,1
161,Mr. Maurice Smith,28.0,Christianity,Private,428030.0,Not-in-family,White,Private,Oxford,1
162,Dominic Max Ward,28.0,Buddhism,State-gov,149624.0,Husband,White,State-gov,Edinburgh,1
163,Ms. Aaron Williams,27.0,Christianity,Private,253814.0,Unmarried,White,Private,Edinburgh,1
164,Geoffrey Kieran Simmons,22.0,Christianity,Private,312956.0,Own-child,Black,Private,Edinburgh,1
165,Gavin Aaron Ford,34.0,Christianity,Private,483777.0,Not-in-family,Black,Private,Edinburgh,1
166,Dr. Albert Garry Brookes,18.0,Christianity,Private,183930.0,Own-child,White,Private,Edinburgh,1
167,Russell Julian Dale,33.0,Christianity,Private,37274.0,Husband,White,Private,Swindon,1
168,Martyn Porter,44.0,Christianity,Local-gov,181344.0,Husband,Black,Local-gov,Swindon,1
170,Mr. Derek Lees,31.0,Not Stated,Private,510072.0,Not-in-family,Black,Private,Edinburgh,1
173,Mr. Christopher Herbert,35.0,Christianity,Private,304030.0,Husband,Black,Private,Bristol,1
175,Francis Carole Harvey,31.0,Christianity,Private,99928.0,Wife,White,Private,Lake Nathanmouth,1
177,Ms. Tony Anderson,38.0,Christianity,Private,155222.0,Not-in-family,Black,Private,Edinburgh,1
178,Mr. Owen Hall,25.0,Christianity,Private,159567.0,Husband,White,Private,Edinburgh,1
181,Shaun Bartlett,23.0,Christianity,Private,197387.0,Other-relative,White,Private,Edinburgh,1
185,Raymond Miller,24.0,Not Stated,Self-emp-not-inc,32921.0,Not-in-family,White,Self-emp-not-inc,Edinburgh,1
186,Miss Keith Vanessa McLean,26.0,Christianity,Private,397317.0,Not-in-family,White,Private,Edinburgh,1
187,Mr. Allan Baker,20.0,Christianity,?,170653.0,Own-child,White,?,Edinburgh,1
193,Ms. Owen Webb,17.0,Not Stated,Private,65368.0,Own-child,White,Private,Edinburgh,1
195,Ross Watson,38.0,Christianity,Private,208358.0,Husband,White,Private,Chambersport,1
196,Miss Dominic Judith Hughes,35.0,Islam,Private,153790.0,Not-in-family,Amer-Indian-Eskimo,Private,Edinburgh,1
199,Ben Robertson,37.0,Christianity,Private,510072.0,Not-in-family,Black,Private,Swindon,1
201,Mr. Leigh Craig O'Connor,39.0,Christianity,Private,182609.0,Husband,White,Private,Bristol,1
203,Toby Thomas,25.0,Christianity,Private,255004.0,Not-in-family,White,Private,Edinburgh,1
204,Mr. David Dyer,31.0,Christianity,Private,197860.0,Husband,White,Private,Edinburgh,1
209,Miss Scott Dodd,19.0,Christianity,Private,243313.0,Own-child,White,Private,Edinburgh,1
214,Denis Jones,36.0,Christianity,Private,510072.0,Not-in-family,Black,Private,Edinburgh,1
215,Tom Carter,42.0,Not Stated,Private,130408.0,Unmarried,Black,Private,Edinburgh,1
216,Mr. Jacob Hale,25.0,Not Stated,Private,159732.0,Not-in-family,White,Private,Edinburgh,1
218,Mr. Aaron Marcus Buckley,29.0,Christianity,Private,76714.0,Not-in-family,White,Private,Swindon,1
220,Richard Thomas,41.0,Christianity,Private,180138.0,Husband,White,Private,East Maurice,1
224,Mr. Timothy Steven West,24.0,Christianity,State-gov,273905.0,Husband,White,State-gov,Edinburgh,1
225,Stewart Dale Gray,20.0,Christianity,?,119156.0,Own-child,White,?,Edinburgh,1
226,Mr. Antony Sharp,38.0,Christianity,Private,179488.0,Not-in-family,White,Private,Edinburgh,1
233,Damian Smith,20.0,Islam,Local-gov,27382.0,Own-child,White,Local-gov,Edinburgh,1
236,Miss Matthew Khan,21.0,Christianity,Private,117789.0,Own-child,White,Private,Edinburgh,1
237,Ms. Hugh Christine Pearson,32.0,Christianity,Private,172579.0,Not-in-family,White,Private,Edinburgh,1
239,Mr. Kieran Lynch,51.0,Hinduism,Private,204518.0,Not-in-family,White,Private,Edinburgh,1
242,Mr. Stanley Kieran Smith,17.0,Christianity,Private,245918.0,Own-child,White,Private,Edinburgh,1
244,Mr. James Wilson,26.0,Christianity,Private,378322.0,Husband,White,Private,Edinburgh,1
246,Jonathan Neil Walters,19.0,Christianity,?,218956.0,Own-child,White,?,Edinburgh,1
249,Danny Lorraine Webb,34.0,Christianity,Private,222205.0,Wife,White,Private,Swindon,1
251,Joseph Richardson,16.0,Christianity,Private,191260.0,Own-child,White,Private,Edinburgh,1
253,Mr. Cameron Maurice Leonard,28.0,Christianity,Local-gov,209109.0,Own-child,White,Local-gov,Edinburgh,1
254,Samuel Kathleen Hill,30.0,Christianity,Private,70377.0,Own-child,White,Private,Edinburgh,1
256,Craig Bradley,36.0,Christianity,Private,190174.0,Not-in-family,White,Private,Edinburgh,1
257,Mrs. Antony Sarah Day,26.0,Christianity,Private,193787.0,Own-child,White,Private,Edinburgh,1
258,Mrs. Michael Tracey Johnson,24.0,Christianity,Private,279472.0,Wife,White,Private,Swindon,1
259,Gary O'Neill,22.0,Christianity,Private,34918.0,Not-in-family,White,Private,Edinburgh,1
260,Dr. Maurice Kerr,42.0,Christianity,Local-gov,97688.0,Husband,White,Local-gov,Swindon,1
263,Mr. Geoffrey O'Neill,21.0,Christianity,Private,205759.0,Own-child,White,Private,Edinburgh,1
267,Miss Liam Smith,26.0,Not Stated,Private,371987.0,Not-in-family,White,Private,Edinburgh,1
270,Shane Taylor,31.0,Christianity,Private,127595.0,Not-in-family,White,Private,Edinburgh,1
271,Ronald Webster,30.0,Christianity,Local-gov,220419.0,Not-in-family,White,Local-gov,Bristol,1
272,Mr. Frank Glenn Miles,21.0,Christianity,Private,231931.0,Own-child,White,Private,Edinburgh,1
273,Mrs. Michael Sara Pope,28.0,Christianity,Private,248402.0,Unmarried,Black,Private,Edinburgh,1
278,Norman Grant,48.0,Christianity,Private,146268.0,Husband,White,Private,Swindon,1
279,Miss Martyn Gill,22.0,Christianity,Private,153718.0,Not-in-family,Asian-Pac-Islander,Private,Edinburgh,1
280,Reece Clayton,31.0,Christianity,Private,217460.0,Husband,White,Private,Edinburgh,1
282,Miss George Louise Smith,24.0,Christianity,Private,303296.0,Wife,Asian-Pac-Islander,Private,Edinburgh,1
284,Raymond Gareth Davison,27.0,Christianity,Private,193945.0,Not-in-family,White,Private,Edinburgh,1
285,Jamie Gareth Lane,35.0,Christianity,Private,193815.0,Husband,White,Private,Swindon,1
286,Leslie Declan Hall,42.0,Christianity,Self-emp-inc,34987.0,Husband,White,Self-emp-inc,Leeds,1
287,Mr. Garry Shaw,26.0,Christianity,Private,59306.0,Not-in-family,White,Private,Edinburgh,1
288,Mr. Lee Lawrence Baker,35.0,Christianity,Private,142897.0,Husband,Asian-Pac-Islander,Private,Swindon,1
289,Patrick Hall,20.0,Christianity,?,510072.0,Own-child,Black,?,Edinburgh,1
290,Gavin Hodgson,37.0,Christianity,Self-emp-not-inc,205607.0,Not-in-family,Black,Self-emp-not-inc,Leeds,1
291,Alan Benson,22.0,Christianity,Private,199698.0,Own-child,White,Private,Edinburgh,1
292,Henry Thompson,25.0,Christianity,Private,191954.0,Not-in-family,White,Private,Edinburgh,1
294,Dr. Alex Williams,23.0,Christianity,Private,399087.0,Other-relative,White,Private,Edinburgh,1
295,Stephen Barnes,30.0,Christianity,Private,423158.0,Not-in-family,White,Private,Edinburgh,1
297,Mr. Gerard Kennedy,39.0,Christianity,Self-emp-not-inc,174308.0,Husband,White,Self-emp-not-inc,Edinburgh,1
299,Reece Charlie Johnston,35.0,Not Stated,Private,186110.0,Not-in-family,White,Private,Edinburgh,1
300,Darren Sally Hargreaves,30.0,Christianity,Private,200381.0,Not-in-family,White,Private,Edinburgh,1
306,Mr. Christian Aaron Newton,26.0,Christianity,Private,224563.0,Not-in-family,White,Private,Edinburgh,1
310,Josh Frank Khan,17.0,Not Stated,Private,270942.0,Other-relative,White,Private,Edinburgh,1
311,Allan Shane Henderson,30.0,Christianity,Private,94235.0,Other-relative,White,Private,Edinburgh,1
313,Mr. Luke Johnson,20.0,Sikhism,Private,104112.0,Unmarried,Black,Private,Edinburgh,1
314,Mr. Owen Ashley Rees,46.0,Christianity,Private,261192.0,Husband,Black,Private,Edinburgh,1
315,Ronald Tom Brown,27.0,Islam,Private,94936.0,Not-in-family,White,Private,Edinburgh,1
318,Mr. Callum Gray,33.0,Christianity,Private,85043.0,Not-in-family,White,Private,Edinburgh,1
319,Mrs. Trevor Turner,23.0,Not Stated,State-gov,293364.0,Own-child,Black,State-gov,Edinburgh,1
320,Mitchell Oliver Ross,44.0,Christianity,Self-emp-not-inc,241895.0,Not-in-family,White,Self-emp-not-inc,Edinburgh,1
322,Ms. Duncan Stephens,31.0,Not Stated,?,151989.0,Unmarried,White,?,Edinburgh,1
324,Gregory Porter,32.0,Christianity,Private,156464.0,Own-child,White,Private,Edinburgh,1
325,Mr. Maurice Cox,34.0,Christianity,Private,117963.0,Husband,White,Private,Swindon,1
326,Mr. Ashley Hurst,34.0,Christianity,Private,111363.0,Husband,White,Private,Port Owen,1
329,Douglas Nicholson,40.0,Christianity,Private,96129.0,Husband,White,Private,New Charlesstad,1
330,Ms. Kenneth Miller,42.0,Christianity,Private,111949.0,Wife,White,Private,Swindon,1
331,Mr. Raymond Steven Glover,26.0,Christianity,Self-emp-not-inc,117125.0,Husband,White,Self-emp-not-inc,Edinburgh,1
332,Mrs. Bernard Moore,36.0,Christianity,Private,348022.0,Wife,White,Private,Edinburgh,1
334,Rhys Arthur Murphy,44.0,Not Stated,Private,180609.0,Husband,White,Private,Swindon,1
336,Robin Mitchell Russell,23.0,Christianity,Private,410439.0,Not-in-family,White,Private,Edinburgh,1
337,Mr. Karl Foster,29.0,Christianity,Private,92262.0,Husband,White,Private,Bristol,1
338,Billy Toby Scott,57.0,Christianity,Self-emp-not-inc,183081.0,Husband,White,Self-emp-not-inc,Port Paulport,1
339,Mrs. Roger Mandy Jones,23.0,Christianity,Private,362589.0,Not-in-family,White,Private,Edinburgh,1
341,Dr. Geoffrey Nicholas Curtis,17.0,Christianity,Private,89821.0,Own-child,White,Private,Edinburgh,1
342,Mr. Charles Turner,41.0,Islam,State-gov,184018.0,Husband,White,State-gov,Swindon,1
344,Joseph Dominic Cox,44.0,Christianity,Private,160323.0,Not-in-family,Black,Private,Edinburgh,1
345,Mrs. Vincent Cooper,21.0,Christianity,Local-gov,350845.0,Own-child,White,Local-gov,Edinburgh,1
347,Mark Taylor,24.0,Hinduism,Private,35633.0,Not-in-family,White,Private,Edinburgh,1
354,Ms. Arthur Doyle,23.0,Not Stated,Private,396099.0,Not-in-family,White,Private,Edinburgh,1
356,Mrs. Ashley Reid,18.0,Not Stated,Private,25429.0,Own-child,White,Private,Edinburgh,1
357,Ms. Graham Paige Palmer,20.0,Christianity,Private,232392.0,Other-relative,White,Private,Edinburgh,1
359,Mr. Shaun Edwards,28.0,Christianity,Private,301302.0,Not-in-family,White,Private,Edinburgh,1
362,Miss Rhys Storey,35.0,Christianity,Private,196164.0,Not-in-family,White,Private,Edinburgh,1
365,Miss Derek Davies,20.0,Not Stated,?,137300.0,Other-relative,White,?,Edinburgh,1
366,Mr. Declan Richardson,25.0,Christianity,Private,86872.0,Husband,White,Private,Edinburgh,1
368,Mr. Allan Heath,20.0,Christianity,Private,416103.0,Own-child,White,Private,Edinburgh,1
370,Mr. Danny Nicholson,27.0,Christianity,Private,166481.0,Husband,Other,Private,Edinburgh,1
371,Mr. Christian Sheppard,41.0,Buddhism,Private,445382.0,Husband,White,Private,Swindon,1
372,Louis Nigel Harvey,28.0,Christianity,Private,110145.0,Husband,White,Private,Oxford,1
373,Kieran Andrew Rees,46.0,Christianity,Self-emp-not-inc,317253.0,Husband,White,Self-emp-not-inc,Edinburgh,1
376,Peter Elaine Stewart,25.0,Buddhism,Private,241951.0,Unmarried,Black,Private,Edinburgh,1
382,Ms. Oliver Johnson,31.0,Christianity,Private,426017.0,Own-child,White,Private,Edinburgh,1
383,Mr. George Joe Singh,35.0,Christianity,Local-gov,243867.0,Not-in-family,Black,Local-gov,Edinburgh,1
384,Mathew Karen Hussain,35.0,Christianity,State-gov,240283.0,Unmarried,White,State-gov,Edinburgh,1
385,Ashley Jennings,20.0,Christianity,Private,61777.0,Husband,White,Private,Edinburgh,1
386,Alex Sarah Fletcher,32.0,Christianity,State-gov,92003.0,Wife,White,State-gov,Bristol,1
387,Terence Jones,30.0,Christianity,Private,188401.0,Not-in-family,White,Private,Edinburgh,1
388,Miss Ryan Day,34.0,Christianity,Private,228528.0,Unmarried,White,Private,Edinburgh,1
390,Dr. Ryan Alan Doyle,36.0,Christianity,Federal-gov,255191.0,Not-in-family,White,Federal-gov,Edinburgh,1
393,Douglas King,18.0,Christianity,?,202521.0,Own-child,White,?,Edinburgh,1
394,Marcus Watson,41.0,Christianity,Self-emp-not-inc,204116.0,Not-in-family,White,Self-emp-not-inc,Edinburgh,1
395,Ms. Gerald White,31.0,Christianity,Private,29662.0,Wife,White,Private,Oxford,1
396,Dr. Russell White,27.0,Christianity,Private,116358.0,Own-child,Asian-Pac-Islander,Private,Edinburgh,1
397,Dr. Stanley Nolan,34.0,Buddhism,Private,208405.0,Husband,White,Private,Oxford,1
400,Mr. Tom Bray,23.0,Christianity,Private,81281.0,Husband,White,Private,Edinburgh,1
401,Mr. Damien Smith,29.0,Christianity,Private,363425.0,Not-in-family,White,Private,Edinburgh,1
403,Matthew Moore,24.0,Not Stated,Federal-gov,191073.0,Own-child,White,Federal-gov,Edinburgh,1
405,Julian Price,27.0,Christianity,Private,405855.0,Other-relative,White,Private,Edinburgh,1
406,Mr. Timothy Byrne,20.0,Christianity,Private,298227.0,Not-in-family,White,Private,Edinburgh,1
408,Mr. Keith McKenzie,20.0,Christianity,Private,146538.0,Husband,White,Private,Edinburgh,1
409,Gavin Ali,18.0,Christianity,?,258872.0,Own-child,White,?,Edinburgh,1
410,Colin Jones,20.0,Christianity,Private,206399.0,Own-child,Black,Private,Edinburgh,1
414,Roy Bradley,31.0,Christianity,Private,180374.0,Wife,White,Private,Swindon,1
415,Mr. Gary Hussain,39.0,Christianity,Private,351299.0,Husband,Black,Private,Leicester,1
416,Damien Smith,24.0,Christianity,Private,54012.0,Husband,White,Private,Sunderland,1
417,Mr. David Alan Carr,33.0,Christianity,?,115745.0,Husband,White,?,Edinburgh,1
419,Jordan Johnson,33.0,Christianity,Private,132601.0,Husband,White,Private,Swindon,1
420,Gregory Jeremy Richards,51.0,Christianity,Private,193374.0,Unmarried,White,Private,Edinburgh,1
424,Dylan Sandra Gibson,30.0,Christianity,Private,118551.0,Wife,White,Private,Swindon,1
426,Mr. Peter Stephen Johnson,23.0,Christianity,?,139883.0,Own-child,White,?,Edinburgh,1
427,Mr. Eric Hussain,35.0,Christianity,Private,285020.0,Not-in-family,White,Private,Edinburgh,1
428,Jay Ross Hayward,30.0,Christianity,Private,303990.0,Not-in-family,White,Private,Edinburgh,1
430,Mr. Tom McDonald,17.0,Christianity,Private,211870.0,Not-in-family,White,Private,Edinburgh,1
431,Mr. Robert Wilson,23.0,Christianity,Private,281432.0,Own-child,White,Private,Edinburgh,1
432,Mr. Julian Denis Mitchell,27.0,Christianity,Private,161155.0,Not-in-family,White,Private,Edinburgh,1
433,Mr. Max Roberts,29.0,Christianity,State-gov,70100.0,Not-in-family,White,State-gov,Edinburgh,1
436,Mrs. Liam Rachel Thomas,25.0,Christianity,Private,189775.0,Own-child,Black,Private,Edinburgh,1
440,Mr. Charles Parkinson,39.0,Christianity,Private,91039.0,Husband,White,Private,New Jayne,1
441,Gary Slater,40.0,Christianity,Private,347934.0,Not-in-family,White,Private,Edinburgh,1
442,Miss Douglas Bates,34.0,Christianity,Private,187251.0,Unmarried,White,Private,Edinburgh,1
443,Miss Harry Smith,42.0,Christianity,Private,343121.0,Unmarried,White,Private,Edinburgh,1
444,Mr. Christopher Peter Patel,23.0,Not Stated,Private,403107.0,Own-child,White,Private,Edinburgh,1
445,Miss Shaun Cook,27.0,Christianity,Private,64293.0,Not-in-family,White,Private,Edinburgh,1
447,Mr. Bernard Watkins,23.0,Not Stated,Local-gov,324960.0,Not-in-family,White,Local-gov,Edinburgh,1
450,Miss Daniel Mason,25.0,Christianity,Private,181054.0,Not-in-family,White,Private,Edinburgh,1
451,Mr. Elliot Graham Andrews,25.0,Christianity,Private,388093.0,Not-in-family,Black,Private,Edinburgh,1
454,Ms. Bruce Tina Sanderson,39.0,Christianity,Private,91996.0,Unmarried,White,Private,Edinburgh,1
457,Mr. Phillip Wright,32.0,Christianity,Private,37070.0,Not-in-family,White,Private,Edinburgh,1
458,Geoffrey Burke,35.0,Islam,Private,337587.0,Husband,White,Private,New Deborah,1
459,Ms. Gerard Byrne,26.0,Christianity,Private,267044.0,Not-in-family,Amer-Indian-Eskimo,Private,Edinburgh,1
460,Paul Howells,21.0,Christianity,?,214635.0,Own-child,White,?,Edinburgh,1
461,Miss Elliott Joan Wilson,22.0,Islam,?,204226.0,Unmarried,White,?,Edinburgh,1
462,Mr. Joseph Russell Shah,34.0,Christianity,Private,108116.0,Husband,White,Private,Swindon,1
465,Mr. Damian Johnson,37.0,Christianity,Local-gov,186035.0,Husband,White,Local-gov,Swindon,1
466,Mr. Martin Powell,45.0,Christianity,Private,177905.0,Unmarried,White,Private,Edinburgh,1
469,Mr. Steven Brown,38.0,Not Stated,Self-emp-not-inc,190387.0,Husband,White,Self-emp-not-inc,Edinburgh,1
472,Dr. Tom Morgan,26.0,Christianity,Private,108658.0,Not-in-family,White,Private,Edinburgh,1
477,Mr. Denis Liam Russell,30.0,Christianity,Private,102345.0,Not-in-family,White,Private,Edinburgh,1
478,Jonathan Richardson,31.0,Christianity,Self-emp-inc,41493.0,Not-in-family,White,Self-emp-inc,Edinburgh,1
480,Mr. Allan Alex Richardson,29.0,Christianity,Private,133937.0,Own-child,White,Private,Edinburgh,1
481,Christian Judith Greenwood,31.0,Christianity,Private,237903.0,Unmarried,White,Private,Edinburgh,1
482,Gerard Wood,27.0,Christianity,Private,163862.0,Not-in-family,White,Private,Edinburgh,1
483,Patrick Wayne Parry,28.0,Christianity,Private,201872.0,Husband,White,Private,Sunderland,1
484,Bradley Howarth,33.0,Christianity,Private,84179.0,Not-in-family,White,Private,Edinburgh,1
486,Martyn Marcus Hughes,35.0,Christianity,Local-gov,233327.0,Husband,White,Local-gov,Swindon,1
487,Clive Rice,21.0,Sikhism,Private,259510.0,Own-child,White,Private,Edinburgh,1
488,Mr. Louis Brown,29.0,Christianity,Private,184831.0,Unmarried,White,Private,Edinburgh,1
494,Mr. Christopher Ball,35.0,Christianity,Private,54576.0,Husband,White,Private,Edinburgh,1
495,Mrs. Gavin Parker,32.0,Christianity,Private,323069.0,Unmarried,White,Private,Edinburgh,1
496,Jay Nicholson,34.0,Christianity,Private,148291.0,Wife,White,Private,Suttonville,1
497,Alexander Richardson,30.0,Christianity,Private,152453.0,Husband,White,Private,Edinburgh,1
498,Allan Anderson,28.0,Not Stated,Private,114053.0,Not-in-family,White,Private,Edinburgh,1
502,Eric McDonald,21.0,Christianity,Private,27337.0,Own-child,Amer-Indian-Eskimo,Private,Edinburgh,1
504,Ms. Justin Henry,46.0,Christianity,Private,433665.0,Unmarried,White,Private,Edinburgh,1
505,Mr. Dominic Callum Smith,30.0,Christianity,Self-emp-not-inc,110663.0,Not-in-family,White,Self-emp-not-inc,Edinburgh,1
507,Mr. Simon Brandon Berry,25.0,Christianity,Private,354351.0,Own-child,White,Private,Edinburgh,1
509,Alex Bell,17.0,Christianity,Private,242718.0,Own-child,White,Private,Edinburgh,1
