,full_name,age,religion,workclass,demographic_characteristic,relationship,race,workclass,town,Cluster Id - KMeans
213,Miss Jacob Lynda Clements,64.0,Christianity,Private,176796.0,Not-in-family,White,Private,Edinburgh,2
217,Clifford Parker,34.0,Christianity,Private,110978.0,Other-relative,Other,Private,Edinburgh,2
219,Julian Taylor,59.0,Christianity,State-gov,268700.0,Husband,White,State-gov,Bristol,2
221,Mr. Norman Mohammad Power,39.0,Christianity,Local-gov,115076.0,Husband,White,Local-gov,Swindon,2
223,Brandon Webster,42.0,Christianity,Self-emp-not-inc,196001.0,Wife,White,Self-emp-not-inc,Edinburgh,2
227,Mr. Jay Brown,56.0,Christianity,Private,203580.0,Husband,White,Private,Leicester,2
228,Leonard Bailey,33.0,Christianity,Private,183916.0,Not-in-family,White,Private,Edinburgh,2
230,Mr. Clive Gregory,46.0,Christianity,Private,153141.0,Husband,White,Private,Harrisonhaven,2
231,Dr. Elliot Maureen Hart,41.0,Christianity,Private,112763.0,Wife,White,Private,Swindon,2
232,Ms. Ricky Lindsey Fraser,59.0,Christianity,Local-gov,171328.0,Unmarried,Black,Local-gov,Edinburgh,2
238,Mrs. Iain Gillian Smith,44.0,Christianity,Private,187666.0,Not-in-family,White,Private,Traceyville,2
240,Miss Jack Cooper,37.0,Islam,Private,150042.0,Own-child,White,Private,Edinburgh,2
241,Jamie Mason,45.0,Hinduism,Private,98092.0,Husband,White,Private,Swindon,2
243,Mr. Dale Robinson,58.0,Christianity,Private,146013.0,Husband,White,Private,Edinburgh,2
247,Mr. Damien Richardson,65.0,Christianity,Private,21174.0,Husband,White,Private,Swindon,2
248,Gary Blake,34.0,Christianity,Private,185480.0,Not-in-family,White,Private,Bristol,2
250,Michael Quinn,61.0,Other religions,Private,69867.0,Husband,White,Private,Leeds,2
252,Dr. Connor Johnson,51.0,Christianity,Self-emp-not-inc,30653.0,Husband,White,Self-emp-not-inc,Edinburgh,2
255,Brett Steven Roberts,44.0,Christianity,Private,477983.0,Husband,Black,Private,Edinburgh,2
261,Aaron Sophie Mann,34.0,Islam,Private,175413.0,Unmarried,Black,Private,Edinburgh,2
262,Miss Cameron Evans,61.0,Christianity,Private,173960.0,Not-in-family,White,Private,Edinburgh,2
266,Mr. Maurice Thompson,50.0,Christianity,Private,176609.0,Not-in-family,White,Private,Edinburgh,2
268,Mr. Kenneth Nicholls,50.0,Hinduism,Private,193884.0,Husband,White,Private,Edinburgh,2
274,Mr. Russell Clifford Birch,65.0,Christianity,Private,111095.0,Husband,White,Private,Edinburgh,2
277,Mr. Sean Callum Ward,39.0,Christianity,Private,169469.0,Not-in-family,White,Private,Edinburgh,2
281,Albert Adam Cooper,55.0,Christianity,Private,238638.0,Husband,White,Private,Swindon,2
283,Cameron Pearce,43.0,Not Stated,Private,173321.0,Not-in-family,White,Private,Edinburgh,2
293,Mr. Owen Ryan Berry,74.0,Christianity,Self-emp-not-inc,138714.0,Husband,White,Self-emp-not-inc,Edinburgh,2
296,Miss Leslie Johnson,63.0,Christianity,Private,159841.0,Not-in-family,White,Private,Edinburgh,2
298,Mr. Toby Stewart Singh,43.0,Christianity,Private,50356.0,Husband,White,Private,Edinburgh,2
302,Mr. Callum Coles,64.0,Christianity,Self-emp-not-inc,78383.0,Husband,White,Self-emp-not-inc,Edinburgh,2
303,Miss Clive Gill,43.0,Christianity,Private,187728.0,Wife,White,Private,Swindon,2
304,Dr. Charlie Jones,59.0,Not Stated,Self-emp-not-inc,321171.0,Husband,White,Self-emp-not-inc,Oxford,2
305,Robert Burgess,42.0,Christianity,Private,206565.0,Not-in-family,Black,Private,Leeds,2
307,Mr. John Jonathan Davies,47.0,Christianity,Private,178686.0,Not-in-family,White,Private,Edinburgh,2
308,Mr. Connor Phillips,56.0,Sikhism,Local-gov,98545.0,Husband,White,Local-gov,Leeds,2
309,John Dale Cooper,53.0,Christianity,Private,242606.0,Husband,White,Private,Edinburgh,2
312,Mr. Jake Rhodes,50.0,Christianity,Private,71195.0,Not-in-family,White,Private,Leicester,2
321,Mr. Steven Tom Morris,68.0,Christianity,?,36135.0,Husband,White,?,Edinburgh,2
323,Craig Leigh Thomas,56.0,Christianity,Private,101128.0,Not-in-family,White,Private,Edinburgh,2
327,Mr. Jeffrey Gareth Thomson,59.0,Christianity,?,372020.0,Husband,White,?,Swindon,2
328,Jordan Stevenson,65.0,Christianity,Private,161400.0,Unmarried,Other,Private,Edinburgh,2
333,Mr. Aaron Shaw,63.0,Christianity,Private,270092.0,Husband,White,Private,Thomasborough,2
335,Mr. Connor Smith,43.0,Christianity,Private,174575.0,Not-in-family,White,Private,Swindon,2
343,Richard Ryan Bird,45.0,Christianity,Private,256649.0,Husband,Black,Private,Leeds,2
348,Dr. Ben Dennis Wilson,47.0,Christianity,Self-emp-not-inc,80914.0,Not-in-family,White,Self-emp-not-inc,West Grahamberg,2
349,Oliver Martyn Ahmed,39.0,Christianity,Private,172927.0,Husband,White,Private,Swindon,2
350,Jack Goddard,55.0,Christianity,Private,174319.0,Not-in-family,White,Private,Leeds,2
351,Mrs. Gerard Gardiner,46.0,Christianity,Private,214955.0,Not-in-family,White,Private,Edinburgh,2
353,Clive Hughes,37.0,Christianity,Local-gov,117312.0,Wife,White,Local-gov,Woodchester,2
355,Mrs. Leigh Janice Hodgson,45.0,Christianity,Private,162028.0,Wife,White,Private,Swindon,2
358,Daniel Jodie Richardson,36.0,Christianity,Private,220098.0,Wife,White,Private,Rogersbury,2
360,Mr. Toby Kelly,46.0,Islam,Self-emp-not-inc,277946.0,Not-in-family,White,Self-emp-not-inc,Edinburgh,2
364,Miss Aaron Duffy,45.0,Christianity,Private,96975.0,Unmarried,White,Private,Edinburgh,2
367,Mr. Kieran Kyle Harding,53.0,Christianity,Self-emp-inc,132178.0,Husband,White,Self-emp-inc,Lincoln,2
369,Aaron Williams,50.0,Hinduism,State-gov,288353.0,Husband,White,State-gov,Swindon,2
375,Miss Stephen Teresa Williams,42.0,Hinduism,Local-gov,42346.0,Not-in-family,Black,Local-gov,Edinburgh,2
377,Miss Leon Hall,33.0,Hinduism,Private,118500.0,Unmarried,White,Private,Edinburgh,2
379,Mr. Victor Danny Simpson,31.0,Christianity,State-gov,510072.0,Husband,White,State-gov,Swindon,2
380,Mr. Julian Jackson,35.0,Christianity,Private,92440.0,Not-in-family,White,Private,Edinburgh,2
381,Mr. Shaun Roger Taylor,52.0,Christianity,Private,190762.0,Husband,White,Private,Leeds,2
391,Marcus May,48.0,Islam,Local-gov,287480.0,Husband,White,Local-gov,Swindon,2
392,Mr. Joe Jay Singh,74.0,Christianity,?,107762.0,Not-in-family,White,?,Edinburgh,2
398,Mr. Clifford Collins,35.0,Christianity,Local-gov,284843.0,Not-in-family,Black,Local-gov,Edinburgh,2
402,Miss Dean Robinson,45.0,Christianity,Private,45857.0,Not-in-family,White,Private,Edinburgh,2
404,Mr. Aaron Sullivan,44.0,Christianity,Private,116632.0,Husband,White,Private,Swindon,2
407,Ms. Max Robinson,43.0,Christianity,Private,290521.0,Unmarried,Black,Private,Edinburgh,2
411,Daniel Gilbert,61.0,Christianity,Private,245062.0,Husband,White,Private,Oxford,2
412,Mohammad Ann Martin,45.0,Christianity,Self-emp-not-inc,234885.0,Wife,White,Self-emp-not-inc,Swindon,2
418,Martin Sam Evans,55.0,Christianity,Local-gov,288825.0,Husband,Black,Local-gov,Bristol,2
422,Robin Barry Glover,39.0,Christianity,Private,33983.0,Husband,White,Private,Swindon,2
425,Mr. Darren Bradley Schofield,61.0,Christianity,Private,201965.0,Unmarried,White,Private,Lincoln,2
429,Ms. Adam Hughes,67.0,Christianity,Private,49401.0,Not-in-family,White,Private,Edinburgh,2
434,Ms. Bryan Bennett,41.0,Christianity,Private,193626.0,Unmarried,White,Private,Edinburgh,2
435,Mr. Francis Keith Edwards,53.0,Christianity,?,271749.0,Other-relative,Black,?,Edinburgh,2
437,Mr. Marcus Wayne Hussain,64.0,Christianity,?,401531.0,Husband,White,?,Edinburgh,2
438,Mr. Tony Anderson,59.0,Christianity,Local-gov,286967.0,Husband,White,Local-gov,South Debra,2
439,Ms. Alexander Hollie Bibi,46.0,Christianity,Local-gov,164427.0,Unmarried,White,Local-gov,Leeds,2
446,Mr. Josh Jeffrey Jones,72.0,Christianity,?,303588.0,Husband,White,?,Edinburgh,2
449,Mr. Vincent Robinson,52.0,Christianity,Private,48925.0,Husband,White,Private,Bristol,2
452,William Abdul Wood,43.0,Islam,Private,112131.0,Husband,White,Private,Bristol,2
453,Scott Holt,48.0,Christianity,Local-gov,510072.0,Unmarried,Black,Local-gov,Edinburgh,2
455,Mr. Peter Ellis,50.0,Christianity,Private,141944.0,Unmarried,White,Private,Edinburgh,2
456,Ms. Karl Julia Harris,54.0,Christianity,?,251804.0,Unmarried,Black,?,Edinburgh,2
463,Alex Howells,39.0,Not Stated,Self-emp-inc,99146.0,Husband,White,Self-emp-inc,Swindon,2
464,Mr. Darren Smith,50.0,Christianity,Private,196232.0,Husband,White,Private,Bristol,2
467,Mr. Mitchell Keith Phillips,42.0,Christianity,Private,221172.0,Husband,White,Private,Swindon,2
468,Ms. Gordon Stevenson,74.0,Christianity,Private,99183.0,Not-in-family,White,Private,Edinburgh,2
470,Dr. Leonard Miller,44.0,Christianity,Self-emp-not-inc,202692.0,Husband,White,Self-emp-not-inc,Swindon,2
471,Miss Jay Jill Booth,45.0,Christianity,Private,109339.0,Unmarried,Other,Private,Edinburgh,2
473,Mr. Craig Chapman,37.0,Christianity,Private,197202.0,Husband,Black,Private,Edinburgh,2
474,Ms. Martin Chelsea Singh,42.0,Islam,Private,101739.0,Wife,White,Private,Swindon,2
475,Dr. Gordon Ross Kent,67.0,Christianity,Private,231559.0,Husband,White,Private,Swindon,2
476,Miss Keith June Wheeler,57.0,Christianity,Private,190942.0,Not-in-family,Black,Private,Edinburgh,2
485,Samuel Dawn Turner,59.0,Christianity,Private,51662.0,Wife,White,Private,Edinburgh,2
489,Aaron Liam Smith,46.0,Christianity,Self-emp-not-inc,245724.0,Not-in-family,White,Self-emp-not-inc,Zoefort,2
490,Mrs. Donald Coleman,36.0,Christianity,Self-emp-not-inc,27053.0,Unmarried,White,Self-emp-not-inc,Edinburgh,2
491,Miss Justin Collins,72.0,Christianity,Private,205343.0,Unmarried,White,Private,Edinburgh,2
493,Miss Bradley Pritchard,69.0,Christianity,Private,136218.0,Not-in-family,White,Private,Edinburgh,2
499,Simon Louis Campbell,55.0,Christianity,Private,212960.0,Husband,White,Private,Swindon,2
500,Adam Price,47.0,Sikhism,Private,264052.0,Husband,White,Private,Swindon,2
501,Mr. Francis Wong,52.0,Christianity,Self-emp-not-inc,334273.0,Husband,White,Self-emp-not-inc,Swindon,2
503,Mr. Robin Frederick Davies,44.0,Not Stated,Self-emp-inc,188436.0,Husband,White,Self-emp-inc,Edinburgh,2
506,Christian Watkins,47.0,Christianity,Private,87490.0,Unmarried,White,Private,Swindon,2
508,Benjamin Stokes,50.0,Christianity,Private,95469.0,Husband,White,Private,Swindon,2
515,Robert Hill,58.0,Christianity,Local-gov,283635.0,Not-in-family,White,Local-gov,Edinburgh,2
517,Mr. Kieran Bradley Rhodes,65.0,Christianity,?,195733.0,Husband,White,?,Leeds,2
518,Mr. Roger Riley,58.0,Christianity,Private,69884.0,Husband,White,Private,Swindon,2
519,Mr. Karl Gallagher,59.0,Hinduism,Private,199713.0,Husband,White,Private,Leeds,2
525,Mr. Elliott Nicholas Smith,53.0,Christianity,Private,25826.0,Husband,White,Private,Swindon,2
526,Matthew Douglas Hutchinson,57.0,Christianity,Self-emp-inc,103948.0,Not-in-family,White,Self-emp-inc,Robertsburgh,2
527,Ashley Gerard Cooper,42.0,Islam,?,137390.0,Husband,White,?,Oxford,2
528,Malcolm Jones,56.0,Christianity,?,105138.0,Wife,Asian-Pac-Islander,?,Swindon,2
529,Mr. Roy Hammond,60.0,Christianity,Private,39352.0,Not-in-family,White,Private,Bristol,2
534,Mr. Mitchell Davies,43.0,Christianity,Self-emp-not-inc,214242.0,Husband,White,Self-emp-not-inc,East Elizabeth,2
536,Ms. Bruce Valerie Green,49.0,Not Stated,Private,136455.0,Not-in-family,White,Private,Swindon,2
537,Nathan Williams,32.0,Christianity,Private,239824.0,Not-in-family,White,Private,Bristol,2
539,Mrs. Charlie Wright,61.0,Christianity,Private,51290.0,Not-in-family,White,Private,Edinburgh,2
541,Mrs. Ryan Alison Palmer,48.0,Christianity,Private,45612.0,Unmarried,Black,Private,Edinburgh,2
552,Nigel Jones,50.0,Christianity,Self-emp-not-inc,114117.0,Husband,White,Self-emp-not-inc,Edinburgh,2
554,Dr. Darren Walters,46.0,Christianity,Private,102388.0,Husband,White,Private,Swindon,2
557,Miss Karl Davey,65.0,Christianity,Private,109351.0,Unmarried,Black,Private,Edinburgh,2
559,Mr. Craig James,48.0,Christianity,Private,241832.0,Unmarried,White,Private,Edinburgh,2
562,Mitchell Bailey,38.0,Christianity,Self-emp-not-inc,267556.0,Husband,White,Self-emp-not-inc,Swindon,2
564,Mr. Graeme Jones,49.0,Christianity,Private,268090.0,Husband,White,Private,Coxfurt,2
565,Ms. Joel Morgan,48.0,Not Stated,Self-emp-not-inc,165039.0,Unmarried,Black,Self-emp-not-inc,Edinburgh,2
566,Justin Pamela Jones,49.0,Christianity,Local-gov,120451.0,Unmarried,Black,Local-gov,Edinburgh,2
567,Richard Scott,44.0,Christianity,Private,154374.0,Husband,White,Private,Swindon,2
573,Paul Perry,48.0,Christianity,Self-emp-inc,248145.0,Husband,White,Self-emp-inc,Holtshire,2
576,Jordan Vincent Rees,60.0,Islam,Private,199378.0,Husband,White,Private,Oxford,2
579,Peter Moss,32.0,Not Stated,Private,55849.0,Husband,White,Private,Bristol,2
580,Dr. Albert Duncan Sharp,51.0,Christianity,Self-emp-inc,195322.0,Not-in-family,White,Self-emp-inc,Edinburgh,2
581,Peter Stevens,72.0,Christianity,Private,78277.0,Husband,White,Private,Bristol,2
582,Mr. George Butler,58.0,Christianity,?,158611.0,Husband,White,?,Oxford,2
589,Ms. Shane Barnett,30.0,Not Stated,State-gov,71592.0,Unmarried,Asian-Pac-Islander,State-gov,Edinburgh,2
590,Lewis Rita Mason,71.0,Christianity,?,167358.0,Unmarried,White,?,Edinburgh,2
592,Mr. Cameron Hyde,44.0,Hinduism,Private,219288.0,Husband,White,Private,Leeds,2
593,Joe Harvey,43.0,Hinduism,Private,174524.0,Husband,White,Private,North Jonathan,2
600,Frederick Morris,42.0,Christianity,Private,247019.0,Husband,Black,Private,Leeds,2
603,Mr. Jonathan Kyle Bailey,48.0,Hinduism,Federal-gov,110457.0,Not-in-family,White,Federal-gov,Whiteport,2
607,Malcolm Francis Lewis,50.0,Christianity,Self-emp-inc,219420.0,Husband,White,Self-emp-inc,Gibsontown,2
612,Mr. Aaron John Cole,59.0,Christianity,Self-emp-not-inc,204021.0,Not-in-family,White,Self-emp-not-inc,Swindon,2
613,Roy Declan Burke,30.0,Christianity,Local-gov,92262.0,Own-child,White,Local-gov,Edinburgh,2
617,Mr. Glenn Hudson,67.0,Christianity,?,149422.0,Not-in-family,White,?,Edinburgh,2
620,James Peters,54.0,Christianity,Local-gov,113000.0,Husband,White,Local-gov,Edinburgh,2
630,Ross Thomas,46.0,Christianity,Private,295566.0,Unmarried,White,Private,Swindon,2
631,Miss Harry Riley,45.0,Islam,Private,63042.0,Own-child,White,Private,Oxford,2
633,Mr. Gerald Eric Dennis,61.0,Christianity,Private,177665.0,Husband,White,Private,Bristol,2
636,Miss Gavin Williams,37.0,Not Stated,Private,70282.0,Unmarried,Black,Private,Edinburgh,2
647,Mr. Maurice Shane Norman,51.0,Christianity,Local-gov,50459.0,Husband,White,Local-gov,Swindon,2
648,Owen Weston,43.0,Christianity,Private,162140.0,Husband,White,Private,North Frederickton,2
653,Dr. Cameron Barker,66.0,Not Stated,Self-emp-not-inc,118474.0,Husband,White,Self-emp-not-inc,Swindon,2
655,Ms. Victor Goodwin,56.0,Christianity,Private,173093.0,Not-in-family,Asian-Pac-Islander,Private,Edinburgh,2
658,Dale Shannon Brown,45.0,Christianity,?,51164.0,Wife,Black,?,Edinburgh,2
662,Miss Lee Tracy Ross,57.0,Christianity,Private,156052.0,Unmarried,Black,Private,Edinburgh,2
665,Jordan Keith Dickinson,55.0,Christianity,Self-emp-not-inc,200939.0,Husband,White,Self-emp-not-inc,Edinburgh,2
670,Jack Carr,56.0,Christianity,Private,197422.0,Husband,White,Private,Edinburgh,2
673,Mr. Raymond Cook,47.0,Christianity,State-gov,193047.0,Husband,White,State-gov,Shawburgh,2
676,Mr. Frederick Fitzgerald,58.0,Christianity,Self-emp-not-inc,87510.0,Husband,White,Self-emp-not-inc,Oxford,2
678,Mr. Mohamed Reece Palmer,39.0,Christianity,Private,48093.0,Not-in-family,White,Private,Edinburgh,2
680,Frank Green,55.0,Christianity,Private,285854.0,Husband,White,Private,Edinburgh,2
683,Rhys Nolan,36.0,Christianity,Private,101460.0,Not-in-family,White,Private,Edinburgh,2
686,Mr. Andrew Forster,51.0,Christianity,Private,386773.0,Not-in-family,White,Private,Leeds,2
690,Ms. Jay Hazel Jordan,48.0,Christianity,Self-emp-not-inc,106252.0,Not-in-family,White,Self-emp-not-inc,Leeds,2
691,Dr. Leigh Harris,33.0,Christianity,Private,188557.0,Not-in-family,White,Private,Edinburgh,2
699,Dr. Carl Baker,35.0,Islam,Private,73585.0,Husband,White,Private,Swindon,2
701,Mr. Dylan Walsh,55.0,Christianity,Private,279129.0,Not-in-family,White,Private,Edinburgh,2
705,Marcus Evans,42.0,Christianity,Self-emp-not-inc,49572.0,Husband,White,Self-emp-not-inc,Edinburgh,2
707,Timothy Damien Skinner,62.0,Christianity,Self-emp-not-inc,36671.0,Husband,White,Self-emp-not-inc,Edinburgh,2
709,Mr. Joe Clifford Goodwin,60.0,Hinduism,?,192130.0,Husband,White,?,Oxford,2
711,Jordan Turner,48.0,Christianity,Private,102102.0,Husband,White,Private,South Kate,2
712,Steven Lambert,41.0,Christianity,Self-emp-inc,32185.0,Husband,White,Self-emp-inc,Swindon,2
715,Phillip Mark Wood,61.0,Islam,Private,128831.0,Husband,White,Private,Oxford,2
