,full_name,age,religion,workclass,demographic_characteristic,relationship,race,workclass,town,Cluster Id - KMeans
1259,Nicholas Richard Burton,31.0,Christianity,Private,66815.0,Husband,White,Private,Oxford,0
1282,Max Jamie Hicks,32.0,Christianity,Private,180871.0,Not-in-family,White,Private,Bristol,0
1291,Mr. Ben Marcus Wilson,36.0,Islam,Private,336595.0,Husband,White,Private,Leeds,0
1302,Dr. Damien Raymond Mills,49.0,Christianity,Self-emp-inc,125892.0,Husband,White,Self-emp-inc,Swindon,0
1303,Iain Hall,46.0,Christianity,Private,510072.0,Husband,Black,Private,Swindon,0
1309,Mr. Ross Vincent Chandler,48.0,Christianity,Self-emp-inc,192945.0,Husband,White,Self-emp-inc,Edwardston,0
1315,Miss Mohammad Lynda Walton,49.0,Christianity,Private,101320.0,Not-in-family,White,Private,Edinburgh,0
1334,Dr. Graham Kirk,38.0,Christianity,Private,175232.0,Unmarried,White,Private,Edinburgh,0
1335,Mr. Nicholas Lord,32.0,Islam,Private,402812.0,Husband,White,Private,Swindon,0
1343,Duncan Hill,36.0,Judaism,Self-emp-not-inc,105021.0,Husband,White,Self-emp-not-inc,Parkerhaven,0
1345,Bruce Stewart,38.0,Not Stated,Self-emp-inc,395831.0,Husband,White,Self-emp-inc,Sunderland,0
1350,Mr. Adam Justin Donnelly,33.0,Christianity,Private,123253.0,Husband,White,Private,Swindon,0
1356,Terence Bennett,31.0,Christianity,Self-emp-not-inc,167990.0,Husband,White,Self-emp-not-inc,Swindon,0
1379,Marc Clive Lee,35.0,Christianity,Private,122116.0,Husband,White,Private,Swindon,0
1384,Mr. Barry Douglas Tucker,40.0,Christianity,Local-gov,203070.0,Not-in-family,White,Local-gov,East Ellieport,0
1400,Nicholas Harris,46.0,Sikhism,Private,149640.0,Husband,White,Private,New Kathryn,0
1401,Mrs. Jason Mary Thomas,74.0,Christianity,?,111177.0,Not-in-family,White,?,Swindon,0
1409,Mr. Shaun Jeremy Lloyd,45.0,Christianity,Private,216907.0,Husband,White,Private,Swindon,0
1421,Mr. Jeffrey Stevenson,40.0,Judaism,Private,128715.0,Not-in-family,White,Private,Edinburgh,0
1422,Mr. Thomas Stuart Akhtar,49.0,Christianity,Self-emp-not-inc,65535.0,Husband,White,Self-emp-not-inc,Edinburgh,0
1423,Mr. Sam Declan Knight,40.0,Christianity,Private,103395.0,Husband,White,Private,Leeds,0
1440,Tom Booth,47.0,Christianity,Private,102318.0,Own-child,White,Private,Edinburgh,0
1454,Lewis Antony Summers,44.0,Christianity,Self-emp-not-inc,179557.0,Husband,White,Self-emp-not-inc,Swindon,0
1471,Derek Robin Reed,35.0,Christianity,Self-emp-inc,175761.0,Husband,White,Self-emp-inc,Swindon,0
1472,Ashley Marcus White,54.0,Christianity,Private,206369.0,Husband,White,Private,South Rickyhaven,0
1474,Kieran Gary Tucker,42.0,Christianity,Private,285066.0,Husband,White,Private,Swindon,0
1479,Neil Hicks,33.0,Not Stated,Private,240763.0,Husband,Black,Private,Oxford,0
1503,Mr. Frederick Leslie Thompson,45.0,Christianity,Private,43711.0,Husband,White,Private,Swindon,0
1507,Mrs. Leon Norman,48.0,Islam,Private,170846.0,Wife,White,Private,Swindon,0
1515,Connor Tyler,44.0,Islam,Private,176270.0,Husband,White,Private,Leeds,0
1518,Mr. Jacob James,38.0,Christianity,Private,188540.0,Husband,White,Private,Swindon,0
1541,Mr. Daniel Karl Woods,43.0,Christianity,Private,201723.0,Husband,White,Private,Brownhaven,0
1550,Mr. Craig Gardner,35.0,Christianity,Private,30381.0,Husband,White,Private,Edinburgh,0
1554,Cameron Fletcher,39.0,Christianity,Private,86551.0,Not-in-family,White,Private,West Joyce,0
1566,Mr. Elliott Todd,65.0,Christianity,Self-emp-not-inc,134960.0,Husband,White,Self-emp-not-inc,Iainburgh,0
1600,Mr. Norman Stevenson,51.0,Christianity,Private,120173.0,Husband,White,Private,Swindon,0
1608,Joe Matthew Jordan,38.0,Christianity,Private,31033.0,Husband,White,Private,Edinburgh,0
1609,Ian Green,38.0,Christianity,Private,272950.0,Husband,White,Private,Swindon,0
1613,Jeffrey Alison Foster,43.0,Christianity,Local-gov,339671.0,Not-in-family,White,Local-gov,East Kathryn,0
1614,Charlie Jill Johnston,36.0,Christianity,Local-gov,103260.0,Wife,White,Local-gov,Swindon,0
1623,Luke Allen,33.0,Not Stated,Private,155343.0,Husband,White,Private,Pearsonport,0
1631,Mr. Dale Holmes,38.0,Christianity,Self-emp-inc,112847.0,Husband,Asian-Pac-Islander,Self-emp-inc,Swindon,0
1645,Mr. Jamie Howard,44.0,Christianity,State-gov,206139.0,Husband,White,State-gov,Swindon,0
1670,Mr. Billy Gerald Hudson,46.0,Not Stated,Federal-gov,273194.0,Not-in-family,Black,Federal-gov,Edinburgh,0
1673,Derek Gregory Hussain,32.0,Christianity,Self-emp-inc,244665.0,Husband,White,Self-emp-inc,Swindon,0
1680,Ms. Ricky Burton,44.0,Christianity,State-gov,55076.0,Not-in-family,White,State-gov,Edinburgh,0
1688,Cameron Samuel Howard,39.0,Christianity,Local-gov,72338.0,Husband,Asian-Pac-Islander,Local-gov,Swindon,0
1693,Louis Watson,32.0,Christianity,Self-emp-not-inc,298332.0,Husband,White,Self-emp-not-inc,Swindon,0
1695,Gary Brett Hunt,31.0,Not Stated,Private,157887.0,Husband,White,Private,Swindon,0
1718,Iain Daniel Hutchinson,46.0,Christianity,Private,112283.0,Husband,White,Private,Swindon,0
1726,Miss Christopher Rebecca King,45.0,Christianity,Local-gov,339681.0,Unmarried,White,Local-gov,Edinburgh,0
1735,Dr. Antony Miah,42.0,Christianity,Local-gov,121718.0,Husband,White,Local-gov,Swindon,0
1740,Ms. Dylan Vanessa Burton,32.0,Not Stated,Private,120426.0,Unmarried,White,Private,Edinburgh,0
1741,Nathan Roberts,39.0,Christianity,Private,119741.0,Husband,Black,Private,Swindon,0
1757,Ms. Martyn Amy Osborne,27.0,Christianity,Local-gov,103148.0,Not-in-family,White,Local-gov,Edinburgh,0
1763,Mrs. Barry Singh,58.0,Christianity,Private,176079.0,Not-in-family,White,Private,Edinburgh,0
1785,Mr. Colin Paul Bevan,27.0,Christianity,Private,122999.0,Not-in-family,White,Private,Lincoln,0
1807,Mr. Eric Blackburn,49.0,Christianity,Private,128132.0,Husband,White,Private,Swindon,0
1809,Liam Jeffrey Baker,38.0,Christianity,Private,379522.0,Husband,White,Private,West David,0
1827,Mr. Shaun Howard,39.0,Christianity,Private,505119.0,Husband,White,Private,Swindon,0
1833,Mr. Connor Allen,37.0,Christianity,Private,35309.0,Husband,White,Private,Edinburgh,0
1837,Victor Molly Ingram,33.0,Christianity,Private,211699.0,Wife,White,Private,Swindon,0
1838,Ms. Wayne Dawson,64.0,Christianity,Self-emp-not-inc,167501.0,Wife,White,Self-emp-not-inc,Swindon,0
1860,Mr. Damien Haynes,38.0,Christianity,State-gov,367237.0,Not-in-family,White,State-gov,Swindon,0
1872,Gary Morton,46.0,Christianity,Private,371886.0,Not-in-family,White,Private,Edinburgh,0
1892,Keith Moore,50.0,Christianity,Private,168211.0,Husband,White,Private,Swindon,0
1902,Mr. Michael Rogers,43.0,Christianity,Private,213821.0,Husband,White,Private,Swindon,0
1922,Bradley Cox,45.0,Christianity,Local-gov,145178.0,Wife,Black,Local-gov,Leicester,0
1950,Kieran Terry Gray,41.0,Christianity,Private,220132.0,Husband,White,Private,Swindon,0
1954,Mrs. Abdul Greenwood,48.0,Christianity,?,331650.0,Wife,White,?,Leeds,0
1957,Dr. Allan Rees,46.0,Not Stated,Private,242391.0,Husband,White,Private,Sunderland,0
1963,Albert Jones,51.0,Not Stated,Private,270194.0,Husband,White,Private,Oxford,0
1965,Mr. Paul Williams,61.0,Christianity,Private,123992.0,Husband,White,Private,Swindon,0
1990,Mr. Simon Garry Clarke,46.0,Christianity,Private,358886.0,Husband,White,Private,Swindon,0
1998,Mr. Donald Marcus Bell,33.0,Christianity,Private,127215.0,Husband,White,Private,Oxford,0
2000,Arthur Lowe,45.0,Not Stated,Private,142287.0,Husband,White,Private,Swindon,0
2004,Derek Dunn,21.0,Not Stated,?,96862.0,Own-child,White,?,Edinburgh,0
2019,Mr. Callum Cameron Sinclair,39.0,Christianity,Federal-gov,338320.0,Husband,White,Federal-gov,Swindon,0
2022,Douglas Davies,46.0,Christianity,Private,241350.0,Husband,White,Private,Swindon,0
2031,Dr. Toby Hill,44.0,Christianity,Private,175935.0,Husband,White,Private,Swindon,0
2042,Harry Akhtar,44.0,Christianity,Private,159549.0,Husband,White,Private,Swindon,0
2050,Mr. Simon Gregory Fletcher,41.0,Christianity,Private,118853.0,Husband,White,Private,Swindon,0
2102,Ms. Jamie Gill,53.0,Christianity,Federal-gov,173093.0,Wife,Asian-Pac-Islander,Federal-gov,Swindon,0
2103,Wayne Hall,33.0,Christianity,Private,235124.0,Not-in-family,White,Private,Edinburgh,0
2110,Dr. Douglas Samuel Atkinson,37.0,Christianity,Private,116358.0,Husband,Asian-Pac-Islander,Private,Swindon,0
2116,Dr. Bryan Alex Owen,30.0,Christianity,Private,214858.0,Husband,White,Private,Swindon,0
2136,Miss Keith Rosemary Smith,35.0,Christianity,Self-emp-inc,215382.0,Not-in-family,White,Self-emp-inc,Edinburgh,0
2151,Michael Edwards,56.0,Christianity,Self-emp-inc,211804.0,Husband,White,Self-emp-inc,Swindon,0
2158,Mr. Karl Abdul Abbott,36.0,Christianity,Private,111387.0,Husband,White,Private,Edinburgh,0
2177,Dr. Callum O'Brien,39.0,Not Stated,Local-gov,153976.0,Husband,White,Local-gov,Swindon,0
2190,Mr. Luke Thornton,61.0,Christianity,Private,240521.0,Husband,White,Private,Swindon,0
2191,Craig Francis,62.0,Christianity,Self-emp-not-inc,244087.0,Husband,White,Self-emp-not-inc,Swindon,0
2193,James Clifford Mann,42.0,Christianity,State-gov,293791.0,Husband,White,State-gov,Maxchester,0
2212,Miss Mohammad Joyce,38.0,Islam,Private,291251.0,Not-in-family,White,Private,Edinburgh,0
2217,Nathan Finch,38.0,Islam,Private,31069.0,Husband,White,Private,Swindon,0
2236,Callum Khan,44.0,Christianity,Self-emp-inc,153132.0,Husband,White,Self-emp-inc,Swindon,0
2247,Nicholas Weston,51.0,Christianity,Private,88842.0,Husband,White,Private,Swindon,0
2250,Harry Howard Walker,57.0,Christianity,Private,206206.0,Husband,White,Private,Swindon,0
2311,Dominic Danny Johnson,53.0,Christianity,?,181317.0,Husband,White,?,Edinburgh,0
2314,Stewart Allen,56.0,Christianity,Self-emp-inc,105582.0,Husband,White,Self-emp-inc,Swindon,0
2321,Dr. Jeremy Jordan Connolly,68.0,Christianity,?,45537.0,Husband,Black,?,Swindon,0
2327,Mr. Gary Connor,58.0,Christianity,Private,348430.0,Unmarried,White,Private,Edinburgh,0
2329,Dr. Derek Thompson,37.0,Christianity,Private,153205.0,Husband,Asian-Pac-Islander,Private,Oxford,0
2333,Dr. Dale Dylan Woods,40.0,Christianity,Private,315776.0,Not-in-family,Black,Private,Swindon,0
2346,Phillip Hussain,45.0,Christianity,State-gov,102308.0,Husband,White,State-gov,Swindon,0
2357,Frederick Read,43.0,Christianity,Private,245626.0,Husband,Amer-Indian-Eskimo,Private,Smartland,0
2360,Mr. Kenneth Francis,45.0,Christianity,Self-emp-not-inc,160167.0,Husband,White,Self-emp-not-inc,Edinburgh,0
2372,Miss Brian Graham,34.0,Christianity,Private,118941.0,Wife,White,Private,Swindon,0
2373,Shaun Russell,52.0,Christianity,?,159755.0,Husband,White,?,Leanneburgh,0
2376,Christopher Carter,42.0,Christianity,Local-gov,142756.0,Not-in-family,White,Local-gov,Leeds,0
2377,Timothy Morris,47.0,Christianity,Private,213140.0,Husband,White,Private,Swindon,0
2384,Mr. Sam Mohamed Watkins,35.0,Not Stated,Private,213226.0,Husband,White,Private,North George,0
2395,Ms. Leigh Thomas,48.0,Christianity,State-gov,183486.0,Unmarried,White,State-gov,Bristol,0
2402,Mr. Connor Jones,52.0,Christianity,Private,237735.0,Husband,White,Private,Swindon,0
2416,Rhys Moore,56.0,Islam,State-gov,146326.0,Husband,White,State-gov,Swindon,0
2432,Dr. Rhys Taylor,53.0,Christianity,Self-emp-not-inc,64045.0,Husband,White,Self-emp-not-inc,Swindon,0
2438,Brian Smith,39.0,Christianity,Private,185520.0,Not-in-family,White,Private,Swindon,0
2442,Mr. Mathew Atkins,42.0,Christianity,Private,153132.0,Unmarried,White,Private,Swindon,0
2449,Mrs. Connor Mitchell,46.0,Christianity,Local-gov,224474.0,Unmarried,White,Local-gov,Swindon,0
2453,Dr. Raymond Daly,63.0,Christianity,Private,160143.0,Husband,White,Private,Swindon,0
2472,Craig Thomas,43.0,Christianity,Private,125461.0,Husband,White,Private,Swindon,0
2495,Mr. Nigel Brett Flynn,40.0,Christianity,Private,174395.0,Not-in-family,White,Private,Oxford,0
2500,Mr. Clive Simpson,31.0,Christianity,Private,255885.0,Husband,White,Private,Edinburgh,0
2516,Dr. Gerard Sinclair,33.0,Christianity,Private,164190.0,Own-child,White,Private,Edinburgh,0
2529,Dr. Toby Elizabeth Hunter,42.0,Christianity,Private,23646.0,Not-in-family,White,Private,Leeds,0
2542,Dr. Rhys Frost,59.0,Hinduism,Self-emp-inc,349910.0,Husband,White,Self-emp-inc,Swindon,0
2549,Mr. Charlie Mathew White,45.0,Christianity,Private,75227.0,Not-in-family,White,Private,Swindon,0
2566,Dr. Wayne Mohamed Day,40.0,Islam,Self-emp-not-inc,335549.0,Not-in-family,White,Self-emp-not-inc,Lake Kerryside,0
2576,Douglas Lucas,47.0,Sikhism,Local-gov,148995.0,Husband,White,Local-gov,Port Hollyton,0
2581,Abdul Stanley Rose,56.0,Christianity,Private,250873.0,Husband,White,Private,Oxford,0
2590,Liam Moore,39.0,Not Stated,Private,188391.0,Husband,White,Private,Swindon,0
2616,Mr. Raymond Hill,33.0,Christianity,Private,144064.0,Husband,White,Private,Swindon,0
2645,Scott Jeffrey Taylor,46.0,Christianity,Private,84790.0,Husband,White,Private,Janetfort,0
2664,Mr. Bernard Gerard Wilson,49.0,Christianity,Self-emp-inc,102771.0,Husband,White,Self-emp-inc,Swindon,0
2714,Mr. Anthony Karl Williams,51.0,Christianity,State-gov,172962.0,Husband,White,State-gov,Sunderland,0
2721,Mr. Jonathan Cox,43.0,Christianity,Self-emp-inc,187702.0,Husband,White,Self-emp-inc,Ruthmouth,0
2726,Bradley Arthur Stevens,47.0,Christianity,Private,125892.0,Husband,White,Private,Carlyville,0
2734,Dr. Duncan Elizabeth Woods,50.0,Not Stated,Local-gov,125417.0,Not-in-family,Black,Local-gov,Swindon,0
2756,Jacob Walton,37.0,Christianity,Private,140583.0,Not-in-family,White,Private,Edinburgh,0
2761,Mr. Ashley Roberts,35.0,Not Stated,Private,232475.0,Not-in-family,White,Private,Bristol,0
2768,Neil Dixon,32.0,Christianity,Private,296282.0,Husband,White,Private,Oxford,0
2769,Mr. Connor Max Faulkner,39.0,Christianity,Private,266645.0,Husband,White,Private,Lake Leon,0
2782,Carl Collins,40.0,Christianity,Private,190122.0,Not-in-family,White,Private,Edinburgh,0
2783,Kenneth Dixon,49.0,Christianity,Private,331482.0,Husband,White,Private,Swindon,0
2796,Mr. Simon Jason Parker,43.0,Christianity,Local-gov,245307.0,Husband,White,Local-gov,Swindon,0
2803,Mr. Luke Morgan,44.0,Christianity,Private,198316.0,Husband,White,Private,Oxford,0
2814,Dr. Lawrence Ronald Douglas,56.0,Christianity,Private,153484.0,Husband,White,Private,Swindon,0
2822,Brandon Arthur Bradley,46.0,Christianity,Private,67716.0,Own-child,White,Private,Leicester,0
2823,Connor Duncan Hughes,49.0,Christianity,Federal-gov,326048.0,Husband,White,Federal-gov,Lincoln,0
2841,Dean Pope,56.0,Islam,Federal-gov,130454.0,Husband,White,Federal-gov,Edinburgh,0
2851,Mr. Craig Mohammed Rowe,41.0,Christianity,Private,173938.0,Husband,White,Private,Swindon,0
2858,Mr. Shane Liam Gill,43.0,Christianity,Self-emp-not-inc,198096.0,Husband,White,Self-emp-not-inc,Swindon,0
2862,Sam Trevor Ali,36.0,Christianity,Private,208358.0,Not-in-family,White,Private,Swindon,0
2863,Matthew Baker,50.0,Christianity,Private,160647.0,Wife,White,Private,Swindon,0
